Parámetro,Valor
Ra (Promedio Aritmético),1.828 µm
Rq (RMS),3.114 µm
Rp (Pico Máximo),18.604 µm
Rv (Valle Máximo),-13.388 µm
Rt (Altura Total del Perfil),31.992 µm
Rz (ISO 4287:1997),11.690 µm
Rsk (Asimetría),1.306
Rku (Curtosis),11.288
RSm (Anchura Media de Elementos),261.810 µm
Rdq (Pendiente RMS),65.711 µm/mm
Rda (Pendiente Media Absoluta),30.014 µm/mm
Pc (Conteo de Picos),10.40 1/mm
Rpk (Altura de picos que se desgastan),2.422 µm
Rk (Profundidad del núcleo funcional),0.482 µm
Rvk (Profundidad de valles para lubricante),1.853 µm
Mr1 (%),35.02
Mr2 (%),70.30
