Parámetro,Valor
Ra (Promedio Aritmético),2.658 µm
Rq (RMS),4.606 µm
Rp (Pico Máximo),17.012 µm
Rv (Valle Máximo),-19.772 µm
Rt (Altura Total del Perfil),36.784 µm
Rz (ISO 4287:1997),13.474 µm
Rsk (Asimetría),-0.184
Rku (Curtosis),8.598
RSm (Anchura Media de Elementos),645.817 µm
Rdq (Pendiente RMS),30.976 µm/mm
Rda (Pendiente Media Absoluta),15.691 µm/mm
Pc (Conteo de Picos),38.20 1/mm
Rpk (Altura de picos que se desgastan),4.418 µm
Rk (Profundidad del núcleo funcional),3.651 µm
Rvk (Profundidad de valles para lubricante),3.049 µm
Mr1 (%),14.43
Mr2 (%),78.38
