x (mm),altura (µm)
0.000000000,-1.750200987
0.000213000,-1.743438848
0.000426100,-1.744673535
0.000639100,-1.741911396
0.000852200,-1.735146083
0.001065200,-1.736383944
0.001278200,-1.733621806
0.001491300,-1.726856492
0.001704300,-1.724094353
0.001917300,-1.725332215
0.002130400,-1.718566901
0.002343400,-1.715804763
0.002556500,-1.717039449
0.002769500,-1.710277310
0.002982500,-1.707515172
0.003195600,-1.708749858
0.003408600,-1.701987720
0.003621600,-1.699225581
0.003834700,-1.696460268
0.004047700,-1.693698129
0.004260800,-1.690932815
0.004473800,-1.688170677
0.004686800,-1.685408538
0.004899900,-1.682643225
0.005112900,-1.679881086
0.005325900,-1.677118947
0.005539000,-1.674353634
0.005752000,-1.671591495
0.005965100,-1.668826182
0.006178100,-1.666064043
0.006391100,-1.663301904
0.006604200,-1.660536591
0.006817200,-1.657774452
0.007030300,-1.655009139
0.007243300,-1.652247000
0.007456300,-1.649484861
0.007669400,-1.646719548
0.007882400,-1.643957409
0.008095400,-1.645195271
0.008308500,-1.638429957
0.008521500,-1.635667818
0.008734600,-1.632902505
0.008947600,-1.630140366
0.009160600,-1.627378228
0.009373700,-1.624612914
0.009586700,-1.625850776
0.009799700,-1.619088637
0.010012800,-1.616323323
0.010225800,-1.617561185
0.010438900,-1.614795871
0.010651900,-1.612033733
0.010864900,-1.605271594
0.011078000,-1.606506280
0.011291000,-1.603744142
0.011504000,-1.600982003
0.011717100,-1.598216690
0.011930100,-1.595454551
0.012143200,-1.592689238
0.012356200,-1.593927099
0.012569200,-1.591164960
0.012782300,-1.584399647
0.012995300,-1.581637508
0.013208400,-1.582872195
0.013421400,-1.580110056
0.013634400,-1.577347917
0.013847500,-1.574582604
0.014060500,-1.571820465
0.014273500,-1.569058326
0.014486600,-1.570293013
0.014699600,-1.567530874
0.014912700,-1.564765561
0.015125700,-1.562003422
0.015338700,-1.559241283
0.015551800,-1.556475970
0.015764800,-1.553713831
0.015977800,-1.554951693
0.016190900,-1.552186379
0.016403900,-1.549424241
0.016617000,-1.550658927
0.016830000,-1.547896788
0.017043000,-1.545134650
